,Date,Cases per day,Deaths per day,7 Day Average Positive Test Rate,Tests per day,7 day rolling case average,Total deaths,Total cases
135,07/16,900,4,0.07698417547504124,14271.0,817.0,833,39595
136,07/17,880,2,0.07463048219045312,13407.0,822.0,835,40475
137,07/18,978,10,0.08253662065223943,12424.0,829.4285714285714,845,41453
138,07/19,830,1,0.0696500713283863,8089.0,838.1428571428571,846,42283
140,07/20,703,2,0.058731560605337275,6992.0,868.0,848,42986
118,07/21,1117,13,0.0935331834059046,14488.0,889.8571428571429,861,44103
119,07/22,712,6,0.05901647108974435,14780.0,874.2857142857143,867,44815
146,07/23,1052,13,0.0861851036936473,15264.0,896.0,880,45867
147,07/24,1018,0,0.07962633949023945,17456.0,915.7142857142857,880,46885
142,07/25,953,13,0.0730908294072532,14201.0,912.1428571428571,893,47838
153,07/26,957,1,0.07190931633014525,9978.0,930.2857142857143,894,48795
143,07/27,590,1,0.04435470879469032,6946.0,914.1428571428571,895,49385
157,07/28,762,13,0.05732463540715107,14424.0,863.4285714285714,908,50147
150,07/29,870,5,0.06550993405978724,14694.0,886.0,913,51017
149,07/30,1059,8,0.0780570501953269,17270.0,887.0,921,52076
148,07/31,832,15,0.06269646471170823,15379.0,860.4285714285714,936,52908
161,08/01,1062,13,0.07946637590995094,14858.0,876.0,949,53970
159,08/02,922,1,0.0692385264016135,9643.0,871.0,950,54892
160,08/03,404,1,0.030265087060284027,7173.0,844.4285714285714,951,55296
163,08/04,728,12,0.052452266996037264,18138.0,839.5714285714286,963,56024
162,08/05,884,9,0.06220095693779904,17023.0,841.5714285714286,972,56908
164,08/06,839,8,0.05877702161729384,17706.0,810.1428571428571,980,57747
166,08/07,989,12,0.07019376032932158,14086.0,832.5714285714286,992,58736
165,08/08,1165,6,0.08413201143081162,13162.0,847.2857142857143,998,59901
144,08/09,621,2,0.04589994298143729,7418.0,804.2857142857143,1000,60522
145,08/10,507,0,0.0370846394984326,8167.0,819.0,1000,61029
117,08/11,724,8,0.055593949166858635,13599.0,818.4285714285714,1008,61753
116,08/12,478,5,0.03980395422426304,9924.0,760.4285714285714,1013,62231
114,08/13,943,7,0.08379987558873189,12415.0,775.2857142857143,1020,63174
115,08/14,1021,7,0.09513604174431606,10439.0,779.8571428571429,1027,64195
167,08/15,829,13,0.0791710438353548,11335.0,731.8571428571429,1040,65024
126,08/16,685,1,0.06661757759315345,6099.0,741.0,1041,65709
127,08/17,455,0,0.04564803004027346,5962.0,733.5714285714286,1041,66164
125,08/18,634,13,0.06707473739892693,9991.0,720.7142857142857,1054,66798
168,08/19,663,8,0.07067153951576063,9429.0,747.1428571428571,1062,67461
124,08/20,740,7,0.08205810601020182,9871.0,718.1428571428571,1069,68201
170,08/21,826,1,0.09140490380511247,10570.0,690.2857142857143,1070,69027
169,08/22,950,13,0.109696149912573,8700.0,707.5714285714286,1083,69977
122,08/23,453,0,0.053440517720815005,4814.0,674.4285714285714,1083,70430
123,08/24,392,0,0.047115384615384615,4865.0,665.4285714285714,1083,70822
112,08/25,638,13,0.07668795933786662,9987.0,666.0,1096,71460
172,08/26,768,6,0.09083382613837966,10378.0,681.0,1102,72228
177,08/27,878,11,0.10225438815406374,10791.0,700.7142857142857,1113,73106
176,08/28,843,2,0.10054352456083557,9156.0,703.1428571428571,1115,73949
174,08/29,819,6,0.09759460701700629,8752.0,684.4285714285714,1121,74768
175,08/30,537,3,0.06368164261028664,5099.0,696.4285714285714,1124,75305
173,08/31,266,0,0.03211396836894845,3818.0,678.4285714285714,1124,75571
171,09/01,981,8,0.11475985159931816,11844.0,727.4285714285714,1132,76552
180,09/02,545,12,0.06596237637457639,8376.0,695.5714285714286,1144,77097
179,09/03,727,4,0.09051455809899862,9178.0,674.0,1148,77824
178,09/04,1498,7,0.17842740220184108,11702.0,767.5714285714286,1155,79322
181,09/05,946,15,0.11409766015369241,8021.0,785.7142857142857,1170,80268
182,09/06,893,0,0.106949767314536,5509.0,836.5714285714286,1170,81161
155,09/07,567,0,0.06604432907348243,5466.0,879.5714285714286,1170,81728
152,09/08,717,0,0.09590140441387217,4083.0,841.8571428571429,1170,82445
186,09/09,857,15,0.11355290554609124,8871.0,886.4285714285714,1185,83302
185,09/10,1547,10,0.20636886839196553,8822.0,1003.5714285714286,1195,84849
156,09/11,1369,4,0.18891320204230488,9955.0,985.1428571428571,1199,86218
187,09/12,1353,12,0.17432357813362784,11624.0,1043.2857142857142,1211,87571
184,09/13,1582,1,0.19580592686894405,7735.0,1141.7142857142858,1212,89153
188,09/14,771,0,0.09810943464824577,3920.0,1170.857142857143,1212,89924
183,09/15,1348,10,0.14932033611317708,12266.0,1261.0,1222,91272
151,09/16,1408,8,0.1481704200366818,12196.0,1339.7142857142858,1230,92680
189,09/17,2034,3,0.20592701870091554,11445.0,1409.2857142857142,1233,94714
190,09/18,2533,7,0.24540157502110638,13067.0,1575.5714285714287,1240,97247
191,09/19,2283,3,0.2186153404194197,12472.0,1708.4285714285713,1243,99530
192,09/20,1665,1,0.15817115870043155,8320.0,1720.2857142857142,1244,101195
193,09/21,1271,2,0.11620647318513101,6796.0,1791.7142857142858,1246,102466
141,09/22,1672,7,0.15233037887366105,12537.0,1838.0,1253,104138
194,09/23,1762,8,0.1579459597899859,13453.0,1888.5714285714287,1261,105900
195,09/24,2392,6,0.20949902407286922,13279.0,1939.7142857142858,1267,108292
158,09/25,2504,9,0.21392306190197227,15079.0,1935.5714285714287,1276,110796
154,09/26,2817,7,0.2403349258970359,12584.0,2011.857142857143,1283,113613
196,09/27,2217,0,0.1898325402747367,8023.0,2090.714285714286,1283,115830
197,09/28,1726,2,0.14584741670690488,7885.0,2155.714285714286,1285,117556
199,09/29,2367,17,0.2043864951213194,10764.0,2255.0,1302,119923
198,09/30,2319,27,0.20443039568798327,11792.0,2334.5714285714284,1329,122242
201,10/01,2887,21,0.2510809064705298,14361.0,2405.285714285714,1350,125129
200,10/02,2745,5,0.24321553339071442,13595.0,2439.714285714286,1355,127874
