,Santa Clara,Alameda,Contra Costa,Marin,San Mateo,San Francisco
2020-07-12,1.2253739293164598,1.14601274404965,1.21750618716343,1.0994637100653701,1.1554845049045,1.24430369619047
2020-07-13,1.22203838248007,1.14114935189174,1.2265333356982,1.08814939493079,1.15435439518696,1.2432015357781898
2020-07-14,1.2195306621126,1.13643890401174,1.2382501735490299,1.06995664133277,1.15316299639032,1.24257483974249
2020-07-15,1.21785011040708,1.13228695835626,1.2523394641535601,1.04550407087667,1.15223760128995,1.24246276203936
2020-07-16,1.21665299817276,1.12902891218939,1.2683015853004398,1.0164154229823101,1.15178104338583,1.24308221304399
2020-07-17,1.2154068857976699,1.12684790810315,1.28543445015428,0.985196835720299,1.15175335272652,1.24483993048502
2020-07-18,1.2136465791854498,1.1257271722453102,1.30293232930406,0.954677492734282,1.15189402901593,1.24819241056924
2020-07-19,1.21122340457282,1.1254468681198,1.32000402686607,0.9272892570804979,1.15186952193854,1.2534583932411598
2020-07-20,1.20838959188595,1.12562296221806,1.33601714872464,0.9045252944996591,1.15145161097392,1.26067362940514
2020-07-21,1.20574990592111,1.12590966047348,1.35064676021853,0.886918835779537,1.15067373342951,1.26961587524682
2020-07-22,1.2040316345527,1.1261720616730502,1.36385042617914,0.8742299377626009,1.1498062327651999,1.27988210799529
2020-07-23,1.2038413701451,1.12651911963484,1.3758048944547001,0.865718623395609,1.1491545997116699,1.29098853019657
2020-07-24,1.20551313768221,1.12715696459034,1.3866631161637601,0.8603913163047171,1.14884760095959,1.3024479714203703
2020-07-25,1.20898310587799,1.12807051782142,1.39634167299424,0.857167891500227,1.14864414879279,1.31369066465351
2020-07-26,1.21390724291696,1.12892214804187,1.40449030045539,0.8551298754542579,1.14804683170866,1.32408415844918
2020-07-27,1.21973155509047,1.12913474404931,1.4106250080298501,0.853598621748141,1.1465202839537099,1.3329132495103602
2020-07-28,1.2257869414073401,1.12818231783219,1.41444626516305,,1.1437575783565,1.33946889420732
2020-07-29,1.2313997352008301,1.12589979815878,,0.8506972886051859,1.13985256394942,1.34328044025335
2020-07-30,1.23597874119544,1.12259624005425,,0.8491994416551619,1.1352590663872901,1.34436123161244
2020-07-31,1.23918216700702,1.11892622231232,,0.847871806161818,1.13063357594716,1.34329879861289
2020-08-01,,,,,,
