,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tests,Positive Test Rate,Tests Per Day,New Cases 7 Day Average
122,7/6/20,90304,450,6754,1,833324,10.836601369935343,8624,616.5714285714286
123,7/7/20,91299,995,6787,33,850102,10.739770051123276,16778,670.4285714285714
124,7/8/20,92148,849,6812,25,866526,10.634187548902169,16424,700.8571428571429
125,7/9/20,92867,719,6848,36,880023,10.552792370199416,13497,684.7142857142858
126,7/10/20,93876,1009,6880,32,898640,10.446452416985668,18617,733.5714285714287
127,7/11/20,94689,813,6897,17,912323,10.378889932622547,13683,759.1428571428571
128,7/12/20,95266,577,6904,7,924284,10.307005206192036,11961,773.1428571428571
129,7/13/20,95742,476,6911,7,931474,10.278547764081443,7190,776.8571428571429
130,7/14/20,96671,929,6931,20,947283,10.205081269272226,15809,767.4285714285713
131,7/15/20,97665,994,6957,26,968649,10.082599579414216,21366,788.1428571428571
132,7/16/20,98446,781,6973,16,983641,10.008326208443934,14992,797.0
133,7/17/20,99478,1032,6992,19,999390,9.95387186183572,15749,800.2857142857142
134,7/18/20,100241,763,7007,15,1012727,9.898126543481117,13337,793.1428571428571
135,7/19/20,101027,786,7015,8,1027379,9.833469440196849,14652,823.0
136,7/20/20,101738,711,7018,3,1039913,9.78331841221333,12534,856.5714285714287
137,7/21/20,102765,1027,7038,20,1055763,9.733718647082727,15850,870.5714285714287
138,7/22/20,103396,631,7063,25,1071477,9.649857159789713,15714,818.7142857142858
139,7/23/20,104358,962,7079,16,1085617,9.612782408528977,14140,844.5714285714287
140,7/24/20,105571,1213,7101,22,1104948,9.554386269761112,19331,870.4285714285713
141,7/25/20,106625,1054,7114,13,1123330,9.491867928391477,18382,912.0
142,7/26/20,107425,800,7118,4,1136201,9.454753164272873,12871,914.0
143,7/27/20,108264,839,7122,4,1150688,9.408632053171669,14487,932.2857142857144
144,7/28/20,109384,1120,7146,24,1169160,9.35577679701666,18472,945.5714285714287
145,7/29/20,110218,834,7162,16,1184081,9.308315900685848,14921,974.5714285714287
146,7/30/20,111078,860,7176,14,1199937,9.256985991764568,15856,960.0
147,7/31/20,112048,970,7189,13,1216872,9.207870671689381,16935,925.2857142857144
148,8/1/20,112936,888,7204,15,1232322,9.164487853012444,15450,901.5714285714287
149,8/2/20,113590,654,7209,5,1244569,9.126854356809467,12247,880.7142857142858
150,8/3/20,114155,565,7209,0,1256569,9.084658303682486,12000,841.5714285714287
151,8/4/20,115009,854,7232,23,1271529,9.044937236980042,14960,803.5714285714287
152,8/5/20,115714,705,7244,12,1284725,9.00690809317169,13196,785.1428571428571
153,8/6/20,116521,807,7282,38,1300251,8.961423602058371,15526,777.5714285714287
154,8/7/20,117279,758,7297,15,1316899,8.905694362285946,16648,747.2857142857142
155,8/8/20,118092,813,7313,16,1333057,8.85873597303041,16158,736.5714285714287
156,8/9/20,118852,760,7314,1,1347210,8.822084159114024,14153,751.7142857142858
