,specimen_collection_date,pct,tests,Positive tests rate,Total tests,7 day average rate,Data Reliability
154,2020-08-01,0.03567274137262505,2585.0,3.5672741372625048,2585.0,3.2290549547733858,More reliable
155,2020-08-02,0.02827024436990896,2099.0,2.827024436990896,2099.0,3.0976968757971943,More reliable
156,2020-08-03,0.028145347616047048,4777.0,2.8145347616047047,4777.0,3.1399979105367923,More reliable
157,2020-08-04,0.02378815080789946,4472.0,2.378815080789946,4472.0,3.095114607125661,More reliable
158,2020-08-05,0.029169450011133382,4501.0,2.916945001113338,4501.0,3.043334559499089,More reliable
159,2020-08-06,0.0270032930845225,4565.0,2.70032930845225,4565.0,2.9422625190633327,More reliable
160,2020-08-07,0.0330635838150289,4338.0,3.30635838150289,4338.0,2.9301830153880757,More reliable
161,2020-08-08,0.03256445047489824,2223.0,3.256445047489824,2223.0,2.885778859706264,More reliable
162,2020-08-09,0.03748782862706914,2063.0,3.748782862706914,2063.0,3.0174586348085524,More reliable
163,2020-08-10,0.02390852390852391,4832.0,2.390852390852391,4832.0,2.9569325818439363,More reliable
164,2020-08-11,0.02635431918008785,4801.0,2.635431918008785,4801.0,2.9935921300180555,More reliable
165,2020-08-12,0.03191903464383029,5162.0,3.191903464383029,5162.0,3.0328719104851545,More reliable
166,2020-08-13,0.0274234693877551,4721.0,2.74234693877551,4721.0,3.038874429102763,More reliable
167,2020-08-14,0.030060120240480964,4502.0,3.0060120240480965,4502.0,2.9959678066092215,More reliable
168,2020-08-15,0.03573003970004411,2277.0,3.573003970004411,2277.0,3.0411905098255905,More reliable
169,2020-08-16,0.025187566988210074,1872.0,2.5187566988210075,1872.0,2.8654724864133185,More reliable
170,2020-08-17,0.024894199651481205,4035.0,2.4894199651481204,4035.0,2.8795535684555658,"Less reliable, likely to be updated"
171,2020-08-18,0.0217152281473337,3649.0,2.17152281473337,3649.0,2.8132808394162203,"Less reliable, likely to be updated"
172,2020-08-19,0.03361344537815126,1312.0,3.361344537815126,1312.0,2.837486707049378,"Less reliable, likely to be updated"
173,2020-08-20,0.0196078431372549,51.0,1.9607843137254901,51.0,2.7258349034708034,"Less reliable, likely to be updated"
