,Unnamed: 0,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
238,238,2020-05-28T00:00:00.000,Confirmed,From Contact,10,2020-09-13T14:19:34.977
239,239,2020-05-28T00:00:00.000,Confirmed,Community,13,2020-09-13T14:19:34.977
240,240,2020-05-28T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
241,241,2020-05-29T00:00:00.000,Confirmed,Community,13,2020-09-13T14:19:34.977
242,242,2020-05-29T00:00:00.000,Confirmed,From Contact,17,2020-09-13T14:19:34.977
243,243,2020-05-29T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
244,244,2020-05-30T00:00:00.000,Confirmed,From Contact,10,2020-09-13T14:19:34.977
245,245,2020-05-30T00:00:00.000,Confirmed,Community,12,2020-09-13T14:19:34.977
246,246,2020-05-31T00:00:00.000,Confirmed,Community,14,2020-09-13T14:19:34.977
247,247,2020-05-31T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
248,248,2020-05-31T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
249,249,2020-05-31T00:00:00.000,Confirmed,From Contact,10,2020-09-13T14:19:34.977
250,250,2020-06-01T00:00:00.000,Confirmed,From Contact,19,2020-09-13T14:19:34.977
251,251,2020-06-01T00:00:00.000,Confirmed,Community,18,2020-09-13T14:19:34.977
252,252,2020-06-01T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
253,253,2020-06-02T00:00:00.000,Confirmed,Community,17,2020-09-13T14:19:34.977
254,254,2020-06-02T00:00:00.000,Confirmed,From Contact,24,2020-09-13T14:19:34.977
255,255,2020-06-02T00:00:00.000,Confirmed,Unknown,5,2020-09-13T14:19:34.977
256,256,2020-06-03T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
257,257,2020-06-03T00:00:00.000,Confirmed,From Contact,11,2020-09-13T14:19:34.977
258,258,2020-06-03T00:00:00.000,Confirmed,Community,15,2020-09-13T14:19:34.977
259,259,2020-06-04T00:00:00.000,Confirmed,Unknown,2,2020-09-13T14:19:34.977
260,260,2020-06-04T00:00:00.000,Confirmed,Community,17,2020-09-13T14:19:34.977
261,261,2020-06-04T00:00:00.000,Confirmed,From Contact,19,2020-09-13T14:19:34.977
262,262,2020-06-05T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
263,263,2020-06-05T00:00:00.000,Confirmed,From Contact,10,2020-09-13T14:19:34.977
264,264,2020-06-05T00:00:00.000,Confirmed,Community,14,2020-09-13T14:19:34.977
265,265,2020-06-05T00:00:00.000,Confirmed,Unknown,5,2020-09-13T14:19:34.977
266,266,2020-06-06T00:00:00.000,Confirmed,From Contact,10,2020-09-13T14:19:34.977
267,267,2020-06-06T00:00:00.000,Confirmed,Community,6,2020-09-13T14:19:34.977
268,268,2020-06-07T00:00:00.000,Confirmed,From Contact,4,2020-09-13T14:19:34.977
269,269,2020-06-07T00:00:00.000,Confirmed,Community,13,2020-09-13T14:19:34.977
270,270,2020-06-08T00:00:00.000,Confirmed,Community,17,2020-09-13T14:19:34.977
271,271,2020-06-08T00:00:00.000,Confirmed,From Contact,19,2020-09-13T14:19:34.977
272,272,2020-06-09T00:00:00.000,Confirmed,From Contact,12,2020-09-13T14:19:34.977
273,273,2020-06-09T00:00:00.000,Confirmed,Community,21,2020-09-13T14:19:34.977
274,274,2020-06-10T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
275,275,2020-06-10T00:00:00.000,Confirmed,From Contact,4,2020-09-13T14:19:34.977
276,276,2020-06-10T00:00:00.000,Confirmed,Community,11,2020-09-13T14:19:34.977
277,277,2020-06-11T00:00:00.000,Confirmed,From Contact,10,2020-09-13T14:19:34.977
278,278,2020-06-11T00:00:00.000,Confirmed,Community,13,2020-09-13T14:19:34.977
279,279,2020-06-12T00:00:00.000,Confirmed,From Contact,7,2020-09-13T14:19:34.977
280,280,2020-06-12T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
281,281,2020-06-12T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
282,282,2020-06-12T00:00:00.000,Confirmed,Community,19,2020-09-13T14:19:34.977
283,283,2020-06-13T00:00:00.000,Confirmed,From Contact,5,2020-09-13T14:19:34.977
284,284,2020-06-13T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
285,285,2020-06-13T00:00:00.000,Confirmed,Community,15,2020-09-13T14:19:34.977
286,286,2020-06-14T00:00:00.000,Confirmed,From Contact,7,2020-09-13T14:19:34.977
287,287,2020-06-14T00:00:00.000,Confirmed,Community,8,2020-09-13T14:19:34.977
288,288,2020-06-15T00:00:00.000,Confirmed,From Contact,20,2020-09-13T14:19:34.977
289,289,2020-06-15T00:00:00.000,Confirmed,Community,15,2020-09-13T14:19:34.977
290,290,2020-06-16T00:00:00.000,Confirmed,From Contact,21,2020-09-13T14:19:34.977
