,Unnamed: 0,County,Date,Total negative tests,Total cases,Deaths per day,Cases per day,Negative tests per day,Tests per day,Total deaths,7 day rolling case average,7 day rolling deaths average,7 day rolling tests average
180,180,Racine,9/11/2020,58252,4226,0,13,334,347,92,13.857142857142858,0.14285714285714285,0.04775972427375677
181,181,Racine,9/12/2020,58863,4243,1,17,611,628,93,13.714285714285715,0.2857142857142857,0.041237113402061855
182,182,Racine,9/13/2020,58921,4259,0,16,58,74,93,15.0,0.2857142857142857,0.047085201793721984
183,183,Racine,9/14/2020,58923,4261,0,2,2,4,93,14.714285714285715,0.2857142857142857,0.04930588798468166
184,184,Racine,9/15/2020,59917,4299,1,38,994,1032,94,20.142857142857142,0.42857142857142855,0.04636632686616245
185,185,Racine,9/16/2020,60328,4321,0,22,411,433,94,18.285714285714285,0.2857142857142857,0.04514991181657848
186,186,Racine,9/17/2020,60579,4348,0,27,251,278,94,19.285714285714285,0.2857142857142857,0.04828326180257511
187,187,Racine,9/18/2020,61089,4377,0,29,510,539,94,21.571428571428577,0.2857142857142857,0.05053547523427042
188,188,Racine,9/19/2020,61576,4419,0,42,487,529,94,25.142857142857146,0.14285714285714285,0.060920733817930076
189,189,Racine,9/20/2020,61733,4425,0,6,157,163,94,23.714285714285715,0.14285714285714285,0.055742108797850916
190,190,Racine,9/21/2020,61736,4512,0,87,3,90,94,35.857142857142854,0.14285714285714285,0.08191906005221931
191,191,Racine,9/22/2020,62259,4559,0,47,523,570,94,37.142857142857146,0.0,0.09992313604919294
192,192,Racine,9/23/2020,63147,4585,0,26,888,914,94,37.714285714285715,0.0,0.08563087901394745
193,193,Racine,9/24/2020,63677,4656,1,71,530,601,95,44.0,0.14285714285714285,0.09042865531415152
194,194,Racine,9/25/2020,64143,4723,0,67,466,533,95,49.42857142857143,0.14285714285714285,0.10176470588235294
195,195,Racine,9/26/2020,64677,4805,0,82,534,616,95,55.14285714285714,0.14285714285714285,0.11069687410381417
196,196,Racine,9/27/2020,64673,4857,0,52,-4,48,95,61.714285714285715,0.14285714285714285,0.12811387900355872
197,197,Racine,9/28/2020,64690,4908,0,51,17,68,95,56.57142857142857,0.14285714285714285,0.1182089552238806
198,198,Racine,9/29/2020,65530,4947,0,39,840,879,95,55.42857142857143,0.14285714285714285,0.10603990161246243
199,199,Racine,9/30/2020,66400,4976,3,29,870,899,98,55.85714285714285,0.5714285714285714,0.10729967069154776
200,200,Racine,10/1/2020,66885,5061,0,85,485,570,98,57.85714285714285,0.42857142857142855,0.11209521173539996
